 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
      1  0.000000000000E+00  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      2  1.000000000000E-16  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      3  1.100000000000E-15  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      4  1.110000000000E-14  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      5  1.111000000000E-13  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      6  1.111100000000E-12  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      7  1.111110000000E-11  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      8  1.111111000000E-10  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
      9  1.111111100000E-09  1.500000E+07  1.500000E+02  3.225251E+15  3.288977E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
     10  1.111111110000E-08  1.500000E+07  1.500000E+02  3.225251E+15  3.288978E+00  9.241574E-01  2.364820E+00  8.750000E-01  0.000000E+00
     11  1.111111111000E-07  1.500000E+07  1.500000E+02  3.225251E+15  3.288981E+00  9.241574E-01  2.364823E+00  8.750000E-01  0.000000E+00
     12  1.111111111100E-06  1.500000E+07  1.500000E+02  3.225251E+15  3.289011E+00  9.241574E-01  2.364854E+00  8.750000E-01  0.000000E+00
     13  1.111111111110E-05  1.500000E+07  1.500000E+02  3.225251E+15  3.289315E+00  9.241574E-01  2.365158E+00  8.750000E-01  0.000000E+00
     14  1.111111111111E-04  1.500000E+07  1.500000E+02  3.225251E+15  3.292353E+00  9.241574E-01  2.368196E+00  8.750000E-01  0.000000E+00
     15  1.111111111111E-03  1.500000E+07  1.500000E+02  3.225251E+15  3.322711E+00  9.241574E-01  2.398553E+00  8.750000E-01  0.000000E+00
     16  1.111111111111E-02  1.500000E+07  1.500000E+02  3.225251E+15  3.623685E+00  9.241574E-01  2.699528E+00  8.750000E-01  0.000000E+00
     17  1.111111111111E-01  1.500000E+07  1.500000E+02  3.225251E+15  6.387795E+00  9.241574E-01  5.463638E+00  8.750000E-01  0.000000E+00
     18  1.111111111111E+00  1.500000E+07  1.500000E+02  3.225251E+15  1.928505E+01  9.241574E-01  1.836089E+01  8.750000E-01  0.000000E+00
     19  5.308847511159E+00  1.500000E+07  1.500000E+02  3.225251E+15  2.268359E+01  9.241574E-01  2.175944E+01  8.750000E-01  0.000000E+00
     20  2.292342664528E+01  1.500000E+07  1.500000E+02  3.225251E+15  2.268888E+01  9.241574E-01  2.176472E+01  8.750000E-01 -2.220446E-16
     21  8.141140326693E+01  1.500000E+07  1.500000E+02  3.225251E+15  2.268886E+01  9.241574E-01  2.176470E+01  8.750000E-01 -2.220446E-16
     22  6.662911694833E+02  1.500000E+07  1.500000E+02  3.225251E+15  2.268886E+01  9.241574E-01  2.176470E+01  8.750000E-01  0.000000E+00
     23  6.515088831647E+03  1.500000E+07  1.500000E+02  3.225251E+15  2.268886E+01  9.241574E-01  2.176470E+01  8.750000E-01 -2.220446E-16
     24  6.500306545329E+04  1.500000E+07  1.500000E+02  3.225251E+15  2.268886E+01  9.241574E-01  2.176470E+01  8.750000E-01  0.000000E+00
     25  6.498828316697E+05  1.500000E+07  1.500000E+02  3.225251E+15  2.268886E+01  9.241574E-01  2.176470E+01  8.750000E-01  5.551115E-16
     26  6.498680493834E+06  1.500000E+07  1.500000E+02  3.225252E+15  2.268887E+01  9.241576E-01  2.176471E+01  8.750000E-01  2.220446E-15
     27  3.569970723380E+07  1.500000E+07  1.500000E+02  3.225252E+15  2.268892E+01  9.241598E-01  2.176476E+01  8.750000E-01  2.775558E-15
     28  1.400256736542E+08  1.500000E+07  1.500000E+02  3.225254E+15  2.268911E+01  9.241682E-01  2.176495E+01  8.750000E-01  2.553513E-15
     29  2.984282429922E+08  1.500000E+07  1.500000E+02  3.225258E+15  2.268941E+01  9.241810E-01  2.176523E+01  8.750000E-01  2.775558E-15
     30  1.882453936372E+09  1.500000E+07  1.500000E+02  3.225292E+15  2.269238E+01  9.243088E-01  2.176808E+01  8.750000E-01  2.442491E-15
     31  1.772271087017E+10  1.500000E+07  1.500000E+02  3.225637E+15  2.272311E+01  9.255866E-01  2.179752E+01  8.749999E-01  2.331468E-15
     32  1.761252802082E+11  1.500000E+07  1.500000E+02  3.229119E+15  2.312802E+01  9.383110E-01  2.218971E+01  8.749994E-01  2.331468E-15
     33  1.627494131106E+12  1.500000E+07  1.500000E+02  3.267176E+15  3.243689E+01  1.037416E+00  3.139947E+01  8.749939E-01  1.887379E-15
     34  5.343588483215E+12  1.500000E+07  1.500000E+02  3.419677E+15  4.714902E+01  1.114166E+00  4.603486E+01  8.749796E-01  2.997602E-15
     35  1.590450085523E+13  1.500000E+07  1.500000E+02  3.917244E+15  4.837614E+01  1.119217E+00  4.725692E+01  8.749384E-01  3.108624E-15
     36  1.933866974555E+13  1.500000E+07  1.500000E+02  4.079528E+15  4.837334E+01  1.119164E+00  4.725418E+01  8.749250E-01  3.663736E-15
     37  3.873644108420E+13  1.500000E+07  1.500000E+02  4.995989E+15  4.835611E+01  1.118863E+00  4.723725E+01  8.748493E-01  3.774758E-15
     38  1.900540272209E+14  1.500000E+07  1.500000E+02  1.213383E+16  4.822190E+01  1.116514E+00  4.710538E+01  8.742601E-01  3.552714E-15
     39  1.156764131751E+15  1.500000E+07  1.500000E+02  5.726824E+16  4.737725E+01  1.101693E+00  4.627556E+01  8.705342E-01  3.885781E-15
     40  6.062613340166E+15  1.500000E+07  1.500000E+02  2.745229E+17  4.340894E+01  1.031042E+00  4.237789E+01  8.525942E-01  4.218847E-15
     41  1.331771964304E+16  1.500000E+07  1.500000E+02  5.635305E+17  3.838016E+01  9.388561E-01  3.744130E+01  8.287144E-01  4.440892E-15
     42  1.925474914846E+16  1.500000E+07  1.500000E+02  7.753750E+17  3.487564E+01  8.726113E-01  3.400303E+01  8.111989E-01  4.773959E-15
     43  2.822396410965E+16  1.500000E+07  1.500000E+02  1.060056E+18  3.040844E+01  7.853860E-01  2.962306E+01  7.876448E-01  5.107026E-15
