 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
      1  0.000000000000E+00  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      2  1.000000000000E-16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      3  1.100000000000E-15  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      4  1.110000000000E-14  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      5  1.111000000000E-13  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      6  1.111100000000E-12  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      7  1.111110000000E-11  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      8  1.111111000000E-10  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
      9  1.111111100000E-09  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     10  1.111111110000E-08  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     11  1.111111111000E-07  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     12  1.111111111100E-06  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     13  1.111111111110E-05  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     14  1.111111111111E-04  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     15  1.111111111111E-03  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     16  1.111111111111E-02  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     17  1.111111111111E-01  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     18  1.111111111111E+00  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     19  5.308847511159E+00  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     20  2.292342664528E+01  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     21  8.141140326693E+01  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     22  6.662911694833E+02  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
     23  6.515088831647E+03  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.228545E+17  3.225251E+15  1.270853E+09  5.985156E+07
