 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                h1            h2            he3           he4           li7           be7           b8   
      1  0.000000000000E+00  7.500000E-01  2.000000E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      2  1.000000000000E-16  7.500000E-01  2.000732E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      3  1.100000000000E-15  7.500000E-01  2.008049E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      4  1.110000000000E-14  7.500000E-01  2.081225E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      5  1.111000000000E-13  7.500000E-01  2.812985E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      6  1.111100000000E-12  7.500000E-01  1.013058E-29  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      7  1.111110000000E-11  7.500000E-01  8.330655E-29  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      8  1.111111000000E-10  7.500000E-01  8.150663E-28  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      9  1.111111100000E-09  7.500000E-01  8.132663E-27  3.000011E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     10  1.111111110000E-08  7.500000E-01  8.130863E-26  3.001061E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     11  1.111111111000E-07  7.500000E-01  8.130683E-25  3.106128E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     12  1.111111111100E-06  7.500000E-01  8.130658E-24  1.361274E-29  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     13  1.111111111110E-05  7.500000E-01  8.130593E-23  1.064268E-27  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     14  1.111111111111E-04  7.500000E-01  8.129956E-22  1.061243E-25  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     15  1.111111111111E-03  7.500000E-01  8.123592E-21  1.060659E-23  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     16  1.111111111111E-02  7.500000E-01  8.060321E-20  1.055142E-21  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     17  1.111111111111E-01  7.500000E-01  7.462466E-19  1.002296E-19  2.500000E-01  7.000000E-30  7.000241E-30  8.000000E-30
     18  1.111111111111E+00  7.500000E-01  3.852119E-18  6.417817E-18  2.500000E-01  7.000000E-30  7.171703E-30  8.000000E-30
     19  5.308847511159E+00  7.500000E-01  4.670545E-18  5.126619E-17  2.500000E-01  7.000000E-30  1.481837E-29  8.000113E-30
     20  2.292342664528E+01  7.500000E-01  4.671818E-18  2.446089E-16  2.500000E-01  7.000000E-30  1.818842E-28  8.000000E-30
     21  8.141140326693E+01  7.500000E-01  4.671814E-18  8.865961E-16  2.500000E-01  7.000011E-30  2.302763E-27  8.000000E-30
     22  6.662911694833E+02  7.500000E-01  4.671814E-18  7.306468E-15  2.500000E-01  8.707437E-30  1.559075E-25  8.000000E-30
     23  6.515088831647E+03  7.500000E-01  4.671814E-18  7.150519E-14  2.500000E-01  1.338426E-27  1.492613E-23  8.000000E-30
     24  6.500306545329E+04  7.500000E-01  4.671814E-18  7.134924E-13  2.500000E-01  1.550026E-25  1.480633E-21  8.000000E-30
     25  6.498828316697E+05  7.500000E-01  4.671814E-18  7.133364E-12  2.500000E-01  1.517293E-23  1.426908E-19  1.099054E-28
     26  6.498680493834E+06  7.500000E-01  4.671814E-18  7.133208E-11  2.500000E-01  1.092318E-21  1.025652E-17  7.899931E-27
     27  3.569970723380E+07  7.500000E-01  4.671814E-18  3.918539E-10  2.500000E-01  1.203746E-20  1.130136E-16  8.704708E-26
     28  1.400256736542E+08  7.500000E-01  4.671814E-18  1.536974E-09  2.500000E-01  5.330768E-20  5.004716E-16  3.854810E-25
     29  2.984282429922E+08  7.500000E-01  4.671814E-18  3.275653E-09  2.500000E-01  1.159734E-19  1.088798E-15  8.386307E-25
     30  1.882453936372E+09  7.500000E-01  4.671813E-18  2.066202E-08  2.500000E-01  7.426160E-19  6.971918E-15  5.370018E-24
     31  1.772271087017E+10  7.499998E-01  4.671812E-18  1.944808E-07  2.500000E-01  7.007426E-18  6.578794E-14  5.067220E-23
     32  1.761252802082E+11  7.499981E-01  4.671802E-18  1.925381E-06  2.500000E-01  6.939303E-17  6.514827E-13  5.017938E-22
     33  1.627494131106E+12  7.499827E-01  4.671706E-18  1.540712E-05  2.500019E-01  5.553219E-16  5.213455E-12  4.015495E-21
     34  5.343588483215E+12  7.499505E-01  4.671505E-18  2.585245E-05  2.500236E-01  9.319279E-16  8.748859E-12  6.738232E-21
     35  1.590450085523E+13  7.498679E-01  4.670989E-18  2.655841E-05  2.501056E-01  9.577951E-16  8.991115E-12  6.924035E-21
     36  1.933866974555E+13  7.498411E-01  4.670822E-18  2.655748E-05  2.501324E-01  9.578984E-16  8.991896E-12  6.924383E-21
     37  3.873644108420E+13  7.496898E-01  4.669878E-18  2.655143E-05  2.502837E-01  9.584524E-16  8.996029E-12  6.926138E-21
     38  1.900540272209E+14  7.485114E-01  4.662523E-18  2.650426E-05  2.514621E-01  9.627624E-16  9.028128E-12  6.939689E-21
     39  1.156764131751E+15  7.410597E-01  4.616015E-18  2.620599E-05  2.589141E-01  9.899588E-16  9.228583E-12  7.021637E-21
     40  6.062613340166E+15  7.051802E-01  4.392108E-18  2.477009E-05  2.947951E-01  1.119407E-15  1.013107E-11  7.327536E-21
     41  1.331771964304E+16  6.574212E-01  4.094133E-18  2.285969E-05  3.425560E-01  1.287370E-15  1.116335E-11  7.516959E-21
     42  1.925474914846E+16  6.223906E-01  3.875619E-18  2.145944E-05  3.775879E-01  1.406860E-15  1.178980E-11  7.507917E-21
     43  2.822396410965E+16  5.752831E-01  3.581836E-18  1.957829E-05  4.246973E-01  1.561569E-15  1.244443E-11  7.314937E-21
     44  3.547803275799E+16  5.415258E-01  3.371355E-18  1.823204E-05  4.584560E-01  1.667394E-15  1.277246E-11  7.059997E-21
     45  4.640924875845E+16  4.967232E-01  3.092064E-18  1.644844E-05  5.032603E-01  1.799896E-15  1.301213E-11  6.588731E-21
     46  5.523541120702E+16  4.650033E-01  2.894368E-18  1.518852E-05  5.349815E-01  1.887061E-15  1.303842E-11  6.174435E-21
     47  6.869788860087E+16  4.228655E-01  2.631793E-18  1.351977E-05  5.771209E-01  1.992283E-15  1.287633E-11  5.538202E-21
     48  7.951469676049E+16  3.935206E-01  2.448968E-18  1.236200E-05  6.064670E-01  2.056818E-15  1.262313E-11  5.047910E-21
     49  9.628935608600E+16  3.543815E-01  2.205169E-18  1.082534E-05  6.456077E-01  2.128856E-15  1.209484E-11  4.350524E-21
     50  1.096934748815E+17  3.276322E-01  2.038575E-18  9.781590E-06  6.723580E-01  2.166647E-15  1.160268E-11  3.855203E-21
     51  1.309681501440E+17  2.916602E-01  1.814580E-18  8.389223E-06  7.083314E-01  2.198851E-15  1.076515E-11  3.180768E-21
     52  1.478685153514E+17  2.676118E-01  1.664856E-18  7.467856E-06  7.323807E-01  2.205498E-15  1.008984E-11  2.733300E-21
     53  1.756454415900E+17  2.347620E-01  1.460365E-18  6.226135E-06  7.652317E-01  2.189892E-15  9.015459E-12  2.140354E-21
     54  1.975820065619E+17  2.133942E-01  1.327369E-18  5.432317E-06  7.866004E-01  2.160561E-15  8.223494E-12  1.773387E-21
